timestamp,Bazylea Temperature [2 m elevation corrected],Bazylea Sunshine Duration,Bazylea Shortwave Radiation,Bazylea Precipitation Total,Bazylea Snowfall Amount,Bazylea Relative Humidity [2 m],Bazylea Cloud Cover Total,Bazylea Cloud Cover High [high cld lay],Bazylea Cloud Cover Medium [mid cld lay],Bazylea Cloud Cover Low [low cld lay],Bazylea Mean Sea Level Pressure [MSL],Bazylea Wind Speed [10 m],Bazylea Wind Direction [10 m],Bazylea Wind Speed [80 m],Bazylea Wind Direction [80 m],Bazylea Wind Gust,Bazylea Wind Speed [900 mb],Bazylea Wind Direction [900 mb]
20211119T1300,10.000529,60.0,379.13998,0.0,0.0,63.0,0.0,0.0,0.0,0.0,1031.6,5.991594,32.735214,5.3999996,36.86989,8.28,12.015589,81.38435
20211119T1400,10.750529,59.808514,347.1,0.0,0.0,57.0,0.3,1.0,0.0,0.0,1031.1,3.219938,333.43497,2.8116899,320.19443,7.5599995,9.449572,72.255325
20211119T1500,10.720529,59.808514,275.01,0.0,0.0,56.0,0.3,1.0,0.0,0.0,1030.7,4.5536795,341.56506,4.2136917,340.0169,6.8399997,8.557102,75.37913
20211119T1600,10.210529,60.0,166.43,0.0,0.0,57.0,0.0,0.0,0.0,0.0,1030.7,6.379216,343.61047,7.8625183,344.0546,6.12,7.69592,79.2157
20211119T1700,9.440529,51.083332,33.82,0.0,0.0,60.0,0.0,0.0,0.0,0.0,1030.7,7.289444,339.77515,12.144331,348.02386,8.64,7.342588,78.69006
20211119T1800,8.460529,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,1030.8,4.5820518,315.0,11.631956,338.1986,6.8399997,7.928178,87.39744
20211119T1900,7.5805287,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,1029.9,3.671294,281.30994,8.854829,333.43497,6.8399997,9.3669195,87.7974
20211119T2000,7.2105284,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,1030.5,3.4152596,251.56506,5.1165614,309.2894,6.12,10.440001,89.99999
20211119T2100,6.9105287,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,1030.6,2.2768397,251.56506,2.5959969,303.69006,5.3999996,11.304229,80.83765
20211119T2200,6.6605287,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,1030.7,2.7416782,203.1986,2.8116899,219.80557,3.2399998,11.928989,84.805565
20211119T2300,6.5005283,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,1031.0,1.8,180.0,2.0991426,239.03624,2.16,12.287555,84.95755
20211120T0000,5.790529,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,1029.5,1.2979984,123.69006,0.8049845,296.56506,0.71999997,12.24,89.99999
20211120T0100,5.3805285,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,1030.0,1.835647,101.30993,0.5091169,44.999985,0.71999997,12.605142,91.63657
20211120T0200,4.8605285,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,1030.1,5.495161,121.6075,8.39657,120.96376,3.6,12.758432,106.38954
20211120T0300,4.1405287,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,1030.0,6.87779,96.009,13.207634,107.44718,7.2,15.725037,105.9454
